lost,opponent,o_rank
False,EGOBOYS,1118
True,EGOBOYS,1118
False,EGOBOYS,1118
False,EGOBOYS,1118
True,EGOBOYS,1118
False,0-900,1118
False,0-900,1118
False,Gorillaz-Pride,1080
True,Gorillaz-Pride,1080
False,Gorillaz-Pride,1080
